id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won,match_id,competition_id,season_id,location.x,location.y,player.name.GK,player.id.GK,location.x.GK,location.y.GK,DistToGoal,DistToKeeper,AngleToGoal,AngleToKeeper,AngleDeviation,avevelocity,DistSGK,density,density.incone,distance.ToD1,distance.ToD2,AttackersBehindBall,DefendersBehindBall,DefendersInCone,InCone.GK,DefArea,distance.ToD1.360,distance.ToD2.360,milliseconds,ElapsedTime,StartOfPossession,TimeInPoss,TimeToPossEnd
ac187155-8c10-40d7-a791-161e21943933,2681,2,25:08.1,70,8,16,Shot,167,746,Manchester City WFC,6,From Counter,746,Manchester City WFC,4650,Nadia Nadim,23,Center Forward,96,22,2.140323,0.013480071,120,46.1,2,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,,19714,37,4,96,22,Rut†Hedvig†Lindahl,4640,119,39,30,1.414214,53.1301,45,8.130102,15.891017,28.600699,0.4700119,0,5.09902,6,1,4,0,1,270,5.09902,6,122,4336.857,4326.061,10.796,2.14
1c525a7a-493e-490b-8c71-803c73829ae4,2767,2,28:02.3,73,2,16,Shot,175,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4641,Francesca Kirby,9,Right Defensive Midfield,109,24,1.403119,0.06865831,120,45.6,0.5,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,,19714,37,4,109,24,Karen†Bardsley,10170,119,41,19.416488,1.414214,34.50852,135,100.491477,17.275539,19.723083,0.3002572,0,5.385165,14.035669,0,3,0,1,54,5.385165,8.062258,327,4511.062,4494.388,16.674,20.076
affe80c6-77dd-42a1-953e-8e0ac5e5c0b6,2781,2,29:29.4,74,29,16,Shot,177,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,17524,Jennifer Patricia Beattie,5,Left Center Back,110,37,0.502165,0.064698346,114,32,,93,Normal,37,Head,87,Open Play,101,Wayward,,,,,19714,37,4,110,37,Rut†Hedvig†Lindahl,4640,118,38,10.440307,2.828427,73.30076,45,28.300756,12.751036,8.062258,1.4557494,0.44513673,3,3,4,7,2,1,55,3,3,397,4598.132,4596.297,1.835,5.721
52bddfdf-0852-4be2-8e68-127dcfda1dd9,2785,2,29:30.5,74,30,16,Shot,177,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,4654,Nikita Parris,24,Left Center Forward,114,31,0.184881,0.1471805,116,36,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,,19714,37,4,114,31,Rut†Hedvig†Lindahl,4640,118,38,10.816654,2.828427,33.69007,45,11.309932,29.127735,8.062258,0.4996112,0,3.162278,10.77033,1,3,0,1,40,3.162278,5,545,4599.28,4596.297,2.983,4.573
2f21fe52-44d6-48b2-b6a8-482544447461,2791,2,29:33.9,74,33,16,Shot,177,746,Manchester City WFC,2,From Corner,746,Manchester City WFC,4654,Nikita Parris,24,Left Center Forward,111,25,0.495975,0.034212105,112,29,,95,Volley,40,Right Foot,87,Open Play,96,Blocked,,,,,19714,37,4,111,25,Rut†Hedvig†Lindahl,4640,117,38,17.492856,3.605551,30.96376,56.30993,25.346176,8.313132,14.317821,0.5748679,0.39359774,3.605551,8.602325,2,5,2,1,42,3.605551,8.062258,856,4602.591,4596.297,6.294,1.262
182c0482-f083-486d-8d4c-d26b707af8d5,3138,2,38:43.8,83,43,16,Shot,196,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4638,Drew Spence,12,Right Midfield,98,48,1.462389,0.044750817,120,43.2,0.3,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,,19714,37,4,98,48,Karen†Bardsley,10170,119,41,23.4094,1.414214,109.98311,135,25.016893,15.397783,22.135944,0.4997367,0.08084521,5,9.433981,2,5,1,1,120,5,9.433981,809,5152.544,5133.501,19.043,1.462
3990e5d7-228f-4ff6-ab89-d4d224a93af6,3394,2,45:21.4,90,21,16,Shot,208,971,Chelsea FCW,1,Regular Play,971,Chelsea FCW,4660,Erin Cuthbert,15,Left Center Midfield,102,26,1.527016,0.041644186,119,39.9,1.5,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,,19714,37,4,102,26,Karen†Bardsley,10170,119,41,22.803509,1.414214,52.12502,135,82.874984,14.380518,22.671568,0.5693038,0,3.605551,7.28011,3,5,0,1,176,3.605551,4.472136,354,5550.089,5514.008,36.081,1.527
e4291759-38af-427a-afda-459c979f1003,3486,2,49:25.6,94,25,16,Shot,213,971,Chelsea FCW,3,From Free Kick,971,Chelsea FCW,4638,Drew Spence,12,Right Midfield,104,41,0.438644,0.07041053,108,41,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,,19714,37,4,104,41,Karen†Bardsley,10170,119,41,16.03122,1.414214,93.57633,135,41.423666,9.119012,15,1.0178522,0.33831825,4.123106,4.472136,2,7,2,1,49,4.123106,4.123106,587,5794.322,5786.916,7.406,3.697
ab2792f1-6fab-4126-8836-f45840b70f81,447,1,09:11.4,9,11,16,Shot,21,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19289,Ivica Oliƒá,24,Left Center Forward,114,48,0.3582,0.18124305,120,46.9,1.3,93,Normal,40,Right Foot,87,Open Play,98,Off T,TRUE,,,,18235,16,21,114,48,J˙lio†CÈsar†Soares†de†EspÌndola,19287,119,44,10,4.123106,143.1301,165.96376,22.833654,17.029592,6.403124,1.1561738,0,1,6.403124,1,2,0,2,99,1,4,425,551.425,527.279,24.146,0.358
519f4448-527b-4824-bc4b-b8e0b91255d4,473,1,10:56.8,10,56,16,Shot,26,238,Inter Milan,1,Regular Play,238,Inter Milan,19299,Maicon Douglas Sisenando,2,Right Back,92,63,1.622369,0.006345262,120,30.3,0.2,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,,18235,16,21,92,63,Hans-Jˆrg†Butt,19291,119,42,36.23534,2.236068,129.40066,153.43495,24.034288,26.535181,34.205263,0.5298236,0,4.472136,8.544004,3,5,0,1,111,4.472136,5,783,656.783,653.138,3.645,1.623
