id,index,period,timestamp,minute,second,type/id,type/name,possession,possession_team/id,possession_team/name,play_pattern/id,play_pattern/name,team/id,team/name,player/id,player/name,position/id,position/name,location/0,location/1,duration,shot/statsbomb_xg,shot/end_location/0,shot/end_location/1,shot/end_location/2,shot/technique/id,shot/technique/name,shot/body_part/id,shot/body_part/name,shot/type/id,shot/type/name,shot/outcome/id,shot/outcome/name,shot/first_time,shot/one_on_one,under_pressure,shot/aerial_won
f0c52445-bb42-49d4-8597-a138828dc944,555,1,12:51.0,12,51,16,Shot,30,169,Bayern Munich,3,From Free Kick,169,Bayern Munich,19290,Hamit Altıntop,21,Left Wing,96,33,0.4967,0.046331525,105,34,,93,Normal,40,Right Foot,87,Open Play,96,Blocked,,,,
966edbca-dc57-40ea-9bbf-af3f1d97f321,624,1,15:34.8,15,34,16,Shot,36,169,Bayern Munich,2,From Corner,169,Bayern Munich,19297,Daniel Van Buyten,3,Right Center Back,110,40,0.2845,0.070251696,111,40,,93,Normal,37,Head,87,Open Play,96,Blocked,,,,
f9eaee7e-de55-45d2-8bde-06b9cb94d6d0,666,1,17:43.2,17,43,16,Shot,39,238,Inter Milan,3,From Free Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,81,30,1.1996,0.008091472,120,43.2,1,93,Normal,40,Right Foot,62,Free Kick,100,Saved,,,,
1a4e6346-f2d2-4c77-8bee-089731d17a8c,681,1,18:00.5,18,0,16,Shot,40,238,Inter Milan,4,From Throw In,238,Inter Milan,19301,Esteban Matías Cambiasso Delau,11,Left Defensive Midfield,107,40,0.187,0.06827557,109,40,,95,Volley,40,Right Foot,87,Open Play,96,Blocked,TRUE,,,
50e30164-0502-43a7-ac09-063262e3af00,886,1,22:22.4,22,22,16,Shot,44,169,Bayern Munich,4,From Throw In,169,Bayern Munich,8218,Arjen Robben,17,Right Wing,104,41,0.77935,0.069696575,120,48.7,6.1,91,Half Volley,38,Left Foot,87,Open Play,98,Off T,TRUE,,,
374e326b-0846-41c7-9567-ff5db275f77c,997,1,25:40.7,25,40,16,Shot,50,238,Inter Milan,3,From Free Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,80,33,1.283351,0.005588494,119,40.3,0.8,93,Normal,40,Right Foot,62,Free Kick,100,Saved,,,,
67b2f1bd-3bba-433c-8080-526d3c289871,1214,1,31:50.8,31,50,16,Shot,65,169,Bayern Munich,1,Regular Play,169,Bayern Munich,5562,Thomas Müller,22,Right Center Forward,91,40,0.8242,0.029827887,119,46.1,6.1,93,Normal,40,Right Foot,87,Open Play,98,Off T,,,,
1cd7cf67-b9d6-49ac-b784-db976284bc9f,1222,1,32:24.8,32,24,16,Shot,66,238,Inter Milan,7,From Goal Kick,238,Inter Milan,4409,Wesley Sneijder,19,Center Attacking Midfield,111,51,2.5351,0.0897631,115,34,,95,Volley,40,Right Foot,87,Open Play,101,Wayward,TRUE,,,
13810a7a-3159-4157-980d-a9874abe61fe,1287,1,33:59.8,33,59,16,Shot,68,238,Inter Milan,1,Regular Play,238,Inter Milan,19294,Diego Alberto Milito,23,Center Forward,107,46,0.746901,0.3830916,120,40.7,2,93,Normal,40,Right Foot,87,Open Play,97,Goal,,,,
574fe7d4-f034-440f-93a8-8af399366c05,1487,1,40:00.1,40,0,16,Shot,78,169,Bayern Munich,1,Regular Play,169,Bayern Munich,19290,Hamit Altıntop,21,Left Wing,91,42,1.1442,0.03753288,116,38.5,0.2,93,Normal,40,Right Foot,87,Open Play,100,Saved,,,,
